dateOfLoss,baseFloodElevation,lowestFloorElevation,causeOfDamage,floodRisk,precipitation
1/3/1982,,2,1,1,15.76
1/3/1982,2,18,4,1,15.76
1/3/1982,25,27,4,1,15.76
1/3/1982,25,27,4,1,15.76
1/3/1982,25,27,4,1,15.76
1/3/1982,25,27,4,1,15.76
1/3/1982,10.8,12.6,4,1,15.76
1/3/1982,,2,4,1,15.76
1/3/1982,36,16,4,1,15.76
1/3/1982,,30,4,1,15.76
1/3/1982,15,16,4,1,15.76
1/3/1982,26,28,1,1,15.76
1/3/1982,11,11,4,1,15.76
1/3/1982,30,31,1,1,15.76
1/3/1982,18,18,4,1,15.76
1/3/1982,79,79,1,1,15.76
1/3/1982,24,26,1,1,15.76
1/3/1982,,2,4,1,15.76
1/3/1982,,3,4,1,15.76
1/3/1982,24,25,4,1,15.76
1/3/1982,24,25,1,1,15.76
1/3/1982,12,12,4,0,15.76
3/10/1982,10,13,4,0,8.64
3/23/1982,16,18,4,0,20.6
3/28/1982,7,10,4,1,20.6
3/28/1982,7,9,4,1,20.6
3/28/1982,6,6,1,1,20.6
3/28/1982,7,7.9,1,1,20.6
3/28/1982,7,9,1,1,20.6
3/28/1982,7,9,4,1,20.6
3/28/1982,7,9,4,1,20.6
3/28/1982,7,11,4,1,20.6
3/28/1982,5,7,1,1,20.6
3/28/1982,16,18,4,1,20.6
4/1/1982,310,310,4,0,27.02
4/2/1982,11.8,11.8,1,0,27.02
4/23/1982,6,12,4,0,12.02
4/23/1982,6,11,1,0,12.02
4/23/1982,8,9,1,0,12.02
4/23/1982,7,6,4,0,12.02
4/23/1982,8,11,4,0,12.02
4/23/1982,7,9,4,0,12.02
4/23/1982,,7,4,0,12.02
4/24/1982,-2,-1,4,0,12.02
4/24/1982,13,13,4,0,12.02
4/28/1982,11,13,1,0,12.02
5/29/1982,12,13,1,0,19.08
5/29/1982,9,9,4,0,19.08
5/29/1982,9,12,4,0,19.08
5/29/1982,9,12,4,0,19.08
5/29/1982,9,9,1,0,19.08
5/29/1982,9,10,1,0,19.08
5/29/1982,9,19,4,0,19.08
5/29/1982,9,9,1,0,19.08
5/29/1982,12,22,4,0,19.08
6/1/1982,10,10,4,0,19.96
6/5/1982,49,45,1,1,19.96
6/5/1982,105,106,4,1,19.96
6/5/1982,11,11,4,1,19.96
6/5/1982,94,94,4,1,19.96
6/5/1982,282,281.9,4,1,19.96
6/5/1982,0,0,1,1,19.96
6/5/1982,0,0,4,1,19.96
6/5/1982,2,-7,4,1,19.96
6/5/1982,11,13,1,1,19.96
6/5/1982,97,94,4,1,19.96
6/5/1982,85,85,4,1,19.96
6/5/1982,85,85,4,1,19.96
6/5/1982,85,85,4,1,19.96
6/5/1982,89,85,1,1,19.96
6/5/1982,104,106,1,1,19.96
6/5/1982,89,85,1,1,19.96
6/5/1982,12,16,4,1,19.96
6/5/1982,54,15,4,1,19.96
6/5/1982,54,7,1,1,19.96
6/5/1982,54,15,4,1,19.96
6/5/1982,158,159.9,1,1,19.96
6/5/1982,11,11,4,1,19.96
6/5/1982,,21,4,1,19.96
6/5/1982,91,74,4,1,19.96
6/5/1982,56,50,1,1,19.96
6/16/1982,12,13,4,0,31.3
6/17/1982,8,9,4,1,31.3
6/17/1982,12,14,4,1,31.3
6/17/1982,9,15,1,1,31.3
6/17/1982,12,0,4,1,31.3
6/17/1982,,11,4,1,31.3
6/17/1982,13,18,1,1,31.3
6/17/1982,12,14,4,1,31.3
6/17/1982,12,10,1,1,31.3
6/17/1982,11,11,4,1,31.3
6/17/1982,8,8,1,1,31.3
6/17/1982,12,18,1,1,31.3
6/17/1982,10,14,1,1,31.3
6/17/1982,12,17,1,1,31.3
6/17/1982,12,12,4,1,31.3
6/17/1982,12,14,4,1,31.3
6/17/1982,12,13,4,1,31.3
6/17/1982,13,4,1,1,31.3
6/17/1982,8,9,1,1,31.3
6/17/1982,8.1,7,1,1,31.3
6/17/1982,11,11,1,1,31.3
6/17/1982,1,2,1,1,31.3
6/17/1982,0,0,1,1,31.3
6/17/1982,0,0,1,1,31.3
6/17/1982,8,11,1,1,31.3
6/17/1982,13,14,4,1,31.3
6/17/1982,13,14,4,1,31.3
6/17/1982,8,15,4,1,31.3
6/17/1982,12,13,4,1,31.3
6/17/1982,12,13,1,1,31.3
6/17/1982,12,16,1,1,31.3
6/17/1982,14,16,4,1,31.3
6/17/1982,12,14,4,1,31.3
6/17/1982,12,18,4,1,31.3
6/17/1982,12,14,1,1,31.3
6/17/1982,2,1,4,1,31.3
6/17/1982,12,15,4,1,31.3
6/17/1982,11,0,4,1,31.3
6/17/1982,12,6,1,1,31.3
6/17/1982,13,13,1,1,31.3
6/17/1982,8,8,4,1,31.3
6/17/1982,,0,1,1,31.3
6/17/1982,9,0,1,1,31.3
6/17/1982,7,10,4,1,31.3
6/17/1982,12,15,1,1,31.3
6/17/1982,12,5,1,1,31.3
6/17/1982,12,15,4,1,31.3
6/17/1982,12,15,4,1,31.3
6/17/1982,12,15,4,1,31.3
6/17/1982,12,15,4,1,31.3
6/17/1982,12,15,4,1,31.3
6/17/1982,12,15,1,1,31.3
6/17/1982,12,14,1,1,31.3
6/17/1982,13,13,4,1,31.3
6/17/1982,12,14,1,1,31.3
6/17/1982,12,11,4,1,31.3
6/17/1982,12,14,4,1,31.3
6/17/1982,7,7,4,1,31.3
6/17/1982,8,9,1,1,31.3
6/17/1982,12,17,4,1,31.3
6/17/1982,12,13,1,1,31.3
6/17/1982,10,10,1,1,31.3
6/17/1982,10,4.2,4,1,31.3
6/17/1982,9,9,1,1,31.3
6/17/1982,8,8.4,1,1,31.3
6/17/1982,11,13,1,1,31.3
6/17/1982,11,16,4,1,31.3
6/17/1982,6,8,4,1,31.3
6/17/1982,8,12,4,1,31.3
6/17/1982,12,11,4,1,31.3
6/17/1982,12,16,4,1,31.3
6/17/1982,7,8,1,1,31.3
6/17/1982,13,12,4,1,31.3
6/17/1982,12,13,4,1,31.3
6/17/1982,8,10,1,1,31.3
6/17/1982,13,16,4,1,31.3
6/17/1982,13,16,4,1,31.3
6/18/1982,7,8,4,0,31.3
7/14/1982,7545,7546,1,0,18.48
7/20/1982,519,520,4,0,18.48
8/1/1982,12,12,4,0,26.2
8/13/1982,1,1,1,0,8.52
8/13/1982,6,9,4,0,8.52
8/13/1982,6,6,4,0,8.52
8/16/1982,10,10,4,0,8.52
9/23/1982,7,11,4,0,9.24
9/24/1982,12,14,4,0,9.24
10/1/1982,12,14,4,0,12.82
10/17/1982,11,16,1,0,7.82
10/23/1982,13,17,4,0,14.7
10/24/1982,9,23,1,0,14.7
10/24/1982,9,17,4,0,14.7
10/24/1982,8,21,1,0,14.7
10/24/1982,8,21,1,0,14.7
10/24/1982,4,3.7,4,0,14.7
10/24/1982,14,17.9,1,0,14.7
10/24/1982,12,12,1,0,14.7
10/25/1982,5.4,17.5,1,0,14.7
10/31/1982,6,11,4,0,14.7
11/6/1982,17,26,4,0,11.04
11/9/1982,7,8,4,0,11.04
11/11/1982,11,-4,4,0,5.62
11/29/1982,16,20,1,0,19.18
11/30/1982,52,53.6,1,0,19.18
12/1/1982,450,447.3,1,0,7.94
12/3/1982,-3,-2,4,0,7.94
12/3/1982,1148,1149,1,0,7.94
12/11/1982,9,23,4,0,5.94
12/13/1982,8,21,4,0,5.94
12/29/1982,,74,1,0,13.26
12/29/1982,9,23,4,0,13.26
12/31/1982,91,2,4,0,13.26
1/18/1983,15,15.5,4,0,6.36
1/18/1983,15,15.5,4,0,6.36
1/18/1983,15,15.5,4,0,6.36
1/18/1983,15,15.5,4,0,6.36
1/18/1983,15,15.5,1,0,6.36
1/18/1983,15,15.5,4,0,6.36
1/18/1983,14,18,4,0,6.36
1/18/1983,14,17.7,4,0,6.36
1/18/1983,15.1,17.7,1,0,6.36
1/19/1983,15,15,4,0,6.36
1/19/1983,14,19.3,1,0,6.36
1/19/1983,14,19.3,4,0,6.36
1/19/1983,14,18,4,0,6.36
1/19/1983,0,0,4,0,6.36
1/19/1983,15,15,1,0,6.36
1/19/1983,14,18,1,0,6.36
1/19/1983,15,16.5,1,0,6.36
1/19/1983,15,18,1,0,6.36
1/19/1983,15,16.1,1,0,6.36
1/19/1983,15,18,1,0,6.36
1/19/1983,11,0,4,0,6.36
1/19/1983,11,15,1,0,6.36
1/19/1983,10,14,4,0,6.36
1/19/1983,13,13.3,1,0,6.36
1/19/1983,6,7,1,0,6.36
